"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 14 23:23:42 UTC 2026","Tue Apr 14 23:23:43 UTC 2026","308","tests","test_search","TestSuccessfulSearch","","","test_SS12_include_user_metadata_true","include_user_metadata=True does not raise and returns results."
"passed","Tue Apr 14 23:23:09 UTC 2026","Tue Apr 14 23:23:10 UTC 2026","628","tests","test_search","TestSuccessfulSearch","","","test_SS01_returns_search_results_type","search.create() returns a SearchResults object."
"passed","Tue Apr 14 23:23:12 UTC 2026","Tue Apr 14 23:23:13 UTC 2026","395","tests","test_search","TestSuccessfulSearch","","","test_SS04_text_search_audio","Text query with audio search option returns a valid response."
"skipped","Tue Apr 14 23:23:13 UTC 2026","Tue Apr 14 23:23:14 UTC 2026","204","tests","test_search","TestSuccessfulSearch","","","test_SS07_group_by_clip_is_default","Without group_by, items are returned as clips (no nested clips list)."
"passed","Tue Apr 14 23:24:04 UTC 2026","Tue Apr 14 23:24:04 UTC 2026","218","tests","test_search","TestEdgeCases","","","test_EC04_page_limit_one_returns_at_most_one_item","page_limit=1 returns exactly 0 or 1 items."
"passed","Tue Apr 14 23:24:05 UTC 2026","Tue Apr 14 23:24:05 UTC 2026","321","tests","test_search","TestErrorHandling","","","test_EH02_invalid_api_key_raises_api_error","An invalid API key should raise an ApiError."
"passed","Tue Apr 14 23:24:05 UTC 2026","Tue Apr 14 23:24:05 UTC 2026","98","tests","test_search","TestErrorHandling","","","test_EH04_invalid_filter_syntax_raises_bad_request","A malformed filter string should raise BadRequestError."
"passed","Tue Apr 14 23:23:14 UTC 2026","Tue Apr 14 23:23:14 UTC 2026","199","tests","test_search","TestSuccessfulSearch","","","test_SS08_group_by_video_returns_grouped_items","group_by='video' yields items with an id and a clips list."
"skipped","Tue Apr 14 23:23:49 UTC 2026","Tue Apr 14 23:23:49 UTC 2026","198","tests","test_search","TestFiltering","","","test_FI03_filter_by_video_id_from_results","Filter by a video_id extracted from a prior search returns only that video."
"passed","Tue Apr 14 23:23:43 UTC 2026","Tue Apr 14 23:23:43 UTC 2026","267","tests","test_search","TestSuccessfulSearch","","","test_SS13_include_user_metadata_false","include_user_metadata=False does not raise and returns results."
